run_id,checkpoint_name,architecture,seed,stage,task_success,scenario_macro_success,reward,oracle_regret,llm_call_rate,required_call_recall,required_call_precision,required_call_f1,false_call_rate,missed_required_rate,action_macro_f1,action_entropy_nats,resource_cost,language_cost,language_latency_steps,memory_retention,habituation_sequence_success,novelty_reaction,params,active_connections,gates,cpu_inference_ms_mean,cpu_inference_ms_median,cpu_inference_ms_p95
gru128-s6-B2,ppo_final.pt,gru128,6,ppo,1.0,1.0,0.9978047013282776,0.021726548671722412,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.7873227389148459,0.3493286124470191,0.019257809966802597,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.031280995,0.0311725,0.03206195
gru128-s6-B3,ppo_final.pt,gru128,6,ppo,1.0,1.0,1.0064141750335693,0.013117074966430664,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.9011732251042727,0.2666776804202646,0.010859373956918716,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.031272735,0.031175500000000002,0.032224050000000004
gru128-s6-B4,ppo_final.pt,gru128,6,ppo,0.8515625,0.8333333333333334,0.6798593997955322,0.3396718502044678,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.7474838219202763,0.48451398871738544,0.04054687172174454,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.03132847,0.0312285,0.03225715
gru128-s6-B5,ppo_final.pt,gru128,6,ppo,0.33984375,0.3333333333333333,-0.3150624632835388,1.3345937132835388,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.4721625499620705,0.15946947356116908,0.012031249701976776,0.01835937611758709,3.0,0.0,1.0,1.0,56967,56192,384,0.03133218,0.03123,0.03195775
gru128-s6-B6,ppo_final.pt,gru128,6,ppo,1.0,1.0,1.0065391063690186,0.012992143630981445,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.9033810599412783,0.26527407909833056,0.010742186568677425,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.031288405,0.031186,0.031990849999999994
gru128-s6-B7,ppo_final.pt,gru128,6,ppo,1.0,1.0,1.0005155801773071,0.01901566982269287,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8224745509029859,0.3104925106231298,0.016718748956918716,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.03150668,0.0313735,0.03241185
gru128-s6-B8,ppo_final.pt,gru128,6,ppo,1.0,1.0,1.0064219236373901,0.013109326362609863,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.9021011574331851,0.266282006421949,0.010859373956918716,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.031521885,0.0314135,0.03230325
gru128-s7-B0,imitation_best.pt,gru128,7,imitation,1.0,1.0,1.0038750171661377,0.015656232833862305,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8782075773021316,0.28526460678849375,0.013398437760770321,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.03149693,0.031261,0.03291855
gru128-s7-B0,imitation_final.pt,gru128,7,imitation,1.0,1.0,1.0038750171661377,0.015656232833862305,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8782075773021316,0.28526460678849375,0.013398437760770321,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.02963138,0.029520499999999998,0.030377150000000002
gru128-s7-B1,ppo_final.pt,gru128,7,ppo,0.8515625,0.8333333333333334,0.6629843711853027,0.35654687881469727,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.6521504713218264,0.547392003625137,0.05742187052965164,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.03125168,0.031163,0.031972
gru128-s7-B2,ppo_final.pt,gru128,7,ppo,0.6015625,0.5769467204809189,0.18357031047344208,0.8359609395265579,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.6724507433158822,0.4129361360469033,0.029726561158895493,0.01835937611758709,3.0,0.4864864945411682,0.31578946113586426,1.0,56967,56192,384,0.031325265,0.031258999999999995,0.03201875
gru128-s7-B3,ppo_final.pt,gru128,7,ppo,1.0,1.0,1.0043516159057617,0.015179634094238281,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8828807358729417,0.28269271321208694,0.012929688207805157,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.031429065,0.0313475,0.03214305
gru128-s7-B4,ppo_final.pt,gru128,7,ppo,0.640625,0.6472868223985037,0.255796879529953,0.763734370470047,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.7087385268051253,0.39238459288221006,0.04273436963558197,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.03152422,0.031434500000000004,0.032294550000000005
gru128-s7-B5,ppo_final.pt,gru128,7,ppo,0.5234375,0.5025987426439921,0.03996874392032623,0.9795625060796738,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.5668592366382059,0.3163348858762768,0.012929686345160007,0.01835937611758709,3.0,0.5135135054588318,0.0,0.5,56967,56192,384,0.031447955,0.031369,0.0320759
